,citizen_network_size,network_discount_factor,seed,Run,Active,Jailed,Quiescent,Seed,Speed of Rebellion Transmission,width,height,citizen_density,cop_density,citizen_vision,cop_vision,legitimacy,max_jail_term,active_threshold,arrest_prob_constant,movement,max_iters
0,0,0.0,1,0,0,12,1091,1,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
1,0,0.0,2,1,0,22,1109,2,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
2,0,0.0,3,2,0,28,1105,3,0.0008818342151675485,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
3,0,0.0,4,3,142,39,954,4,0.14335971855760773,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
4,0,0.0,5,4,0,18,1139,5,0.0017226528854435831,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
5,0,0.0,6,5,0,26,1078,6,0.002717391304347826,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
6,0,0.0,7,6,0,17,1125,7,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
7,0,0.0,8,7,0,20,1133,8,0.0017301038062283738,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
8,0,0.0,9,8,0,119,1003,9,0.017497812773403325,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
9,0,0.0,10,9,0,21,1110,10,0.00088261253309797,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
10,0,0.33,1,10,0,14,1091,1,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
11,0,0.33,2,11,0,22,1109,2,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
12,0,0.33,3,12,150,333,637,3,0.014991181657848324,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
13,0,0.33,4,13,0,20,1117,4,0.001759014951627089,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
14,0,0.33,5,14,0,19,1141,5,0.0008613264427217916,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
15,0,0.33,6,15,0,26,1078,6,0.002717391304347826,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
16,0,0.33,7,16,0,17,1125,7,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
17,0,0.33,8,17,0,23,1133,8,0.0008650519031141869,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
18,0,0.33,9,18,0,23,1119,9,0.003499562554680665,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
19,0,0.33,10,19,0,22,1110,10,0.00176522506619594,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
20,0,0.5,1,20,0,14,1091,1,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
21,0,0.5,2,21,0,22,1107,2,0.0008841732979664014,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
22,0,0.5,3,22,0,21,1110,3,0.0008818342151675485,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
23,0,0.5,4,23,0,29,1104,4,0.010554089709762533,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
24,0,0.5,5,24,0,21,1140,5,0.0008613264427217916,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
25,0,0.5,6,25,0,26,1078,6,0.002717391304347826,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
26,0,0.5,7,26,0,17,1125,7,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
27,0,0.5,8,27,0,23,1133,8,0.0025951557093425604,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
28,0,0.5,9,28,1,24,1118,9,0.0026246719160104987,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
29,0,0.5,10,29,1,21,1109,10,0.00176522506619594,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
30,0,0.66,1,30,0,14,1091,1,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
31,0,0.66,2,31,0,22,1107,2,0.0008841732979664014,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
32,0,0.66,3,32,1,21,1110,3,0.0026455026455026454,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
33,0,0.66,4,33,0,19,1116,4,0.0008795074758135445,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
34,0,0.66,5,34,1,18,1141,5,0.002583979328165375,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
35,0,0.66,6,35,0,26,1078,6,0.002717391304347826,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
36,0,0.66,7,36,0,17,1125,7,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
37,0,0.66,8,37,1,21,1133,8,0.0025951557093425604,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
38,0,0.66,9,38,0,26,1117,9,0.0008748906386701663,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
39,0,0.66,10,39,0,24,1107,10,0.00088261253309797,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
40,0,1.0,1,40,0,13,1091,1,0.0009041591320072332,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
41,0,1.0,2,41,0,22,1109,2,0.002652519893899204,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
42,0,1.0,3,42,0,25,1109,3,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
43,0,1.0,4,43,0,21,1116,4,0.0008795074758135445,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
44,0,1.0,5,44,0,20,1141,5,0.0008613264427217916,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
45,0,1.0,6,45,0,24,1078,6,0.0009057971014492754,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
46,0,1.0,7,46,0,17,1125,7,0.0008748906386701663,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
47,0,1.0,8,47,0,25,1131,8,0.0017301038062283738,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
48,0,1.0,9,48,0,29,1114,9,0.0008748906386701663,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
49,0,1.0,10,49,0,22,1110,10,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
50,10,0.0,1,50,0,15,1091,1,0.0009041591320072332,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
51,10,0.0,2,51,0,20,1109,2,0.0008841732979664014,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
52,10,0.0,3,52,2,23,1107,3,0.001763668430335097,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
53,10,0.0,4,53,0,346,777,4,0.014951627088830254,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
54,10,0.0,5,54,0,432,705,5,0.02239448751076658,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
55,10,0.0,6,55,0,25,1078,6,0.0009057971014492754,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
56,10,0.0,7,56,1,17,1125,7,0.0008748906386701663,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
57,10,0.0,8,57,0,28,1124,8,0.0008650519031141869,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
58,10,0.0,9,58,0,22,1120,9,0.003499562554680665,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
59,10,0.0,10,59,0,21,1110,10,0.00176522506619594,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
60,10,0.33,1,60,0,15,1091,1,0.0009041591320072332,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
61,10,0.33,2,61,0,19,1107,2,0.0008841732979664014,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
62,10,0.33,3,62,264,227,633,3,0.0026455026455026454,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
63,10,0.33,4,63,1,346,775,4,0.022867194371152155,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
64,10,0.33,5,64,0,18,1141,5,0.0008613264427217916,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
65,10,0.33,6,65,0,25,1078,6,0.0009057971014492754,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
66,10,0.33,7,66,1,17,1125,7,0.0008748906386701663,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
67,10,0.33,8,67,0,22,1132,8,0.0017301038062283738,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
68,10,0.33,9,68,0,19,1120,9,0.0017497812773403325,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
