,Quiescent,Active,Jailed,Speed of Rebellion Transmission,Seed
0,1134,0,0,0.0,3
1,1111,3,17,0.020282186948853614,3
2,1111,0,23,0.0026455026455026454,3
3,1111,0,23,0.0,3
4,1111,0,22,0.0,3
5,1111,0,23,0.0008818342151675485,3
6,1110,1,23,0.0008818342151675485,3
7,1110,0,24,0.001763668430335097,3
8,1110,0,22,0.0,3
9,1110,0,24,0.001763668430335097,3
10,1110,0,22,0.0,3
11,1108,3,23,0.003527336860670194,3
12,1045,46,41,0.05555555555555555,3
13,903,147,82,0.13051146384479717,3
14,761,242,128,0.14109347442680775,3
15,654,302,176,0.10052910052910052,3
16,633,275,218,0.020282186948853614,3
17,633,234,260,0.007936507936507936,3
18,633,191,293,0.006172839506172839,3
19,638,154,328,0.019400352733686066,3
20,672,84,364,0.04409171075837742,3
21,704,20,389,0.03439153439153439,3
22,730,0,385,0.024691358024691357,3
23,747,1,373,0.01763668430335097,3
24,760,0,359,0.01146384479717813,3
25,773,1,343,0.014109347442680775,3
26,788,0,334,0.014991181657848324,3
27,797,1,322,0.010582010582010581,3
28,808,0,310,0.013227513227513227,3
29,823,0,295,0.014109347442680775,3
30,839,0,282,0.014109347442680775,3
31,850,0,269,0.01146384479717813,3
32,862,1,249,0.013227513227513227,3
33,883,0,238,0.019400352733686066,3
34,895,0,223,0.01146384479717813,3
35,910,0,203,0.014109347442680775,3
36,931,0,199,0.018518518518518517,3
37,935,0,177,0.003527336860670194,3
38,954,0,167,0.019400352733686066,3
39,966,0,144,0.01146384479717813,3
40,988,1,132,0.021164021164021163,3
41,999,0,120,0.012345679012345678,3
42,1002,6,95,0.02292768959435626,3
43,1026,1,90,0.03527336860670194,3
44,1041,0,83,0.014991181657848324,3
45,1051,0,70,0.008818342151675485,3
46,1063,0,54,0.01146384479717813,3
47,1075,0,51,0.014991181657848324,3
48,1081,1,42,0.007054673721340388,3
49,1088,0,41,0.008818342151675485,3
50,1091,2,32,0.004409171075837742,3
51,1099,1,31,0.007936507936507936,3
52,1100,0,30,0.0026455026455026454,3
53,1101,2,29,0.003527336860670194,3
54,1102,0,29,0.001763668430335097,3
55,1102,1,29,0.0026455026455026454,3
56,1103,0,27,0.001763668430335097,3
57,1104,0,26,0.003527336860670194,3
58,1105,0,28,0.003527336860670194,3
59,1105,0,27,0.0008818342151675485,3
60,1105,0,28,0.001763668430335097,3
61,1105,0,28,0.0008818342151675485,3
62,1106,0,23,0.0008818342151675485,3
63,1106,0,25,0.004409171075837742,3
64,1106,0,28,0.0026455026455026454,3
65,1106,0,28,0.0,3
66,1106,0,28,0.0,3
67,1106,0,25,0.0,3
68,1107,0,25,0.0026455026455026454,3
69,1107,1,26,0.001763668430335097,3
70,1107,0,25,0.0,3
71,1105,1,24,0.003527336860670194,3
72,1107,1,21,0.003527336860670194,3
73,1110,1,23,0.005291005291005291,3
74,1110,0,23,0.0,3
75,1110,0,24,0.0008818342151675485,3
76,1110,0,21,0.0,3
77,1110,1,21,0.0026455026455026454,3
78,1110,0,23,0.001763668430335097,3
79,1110,0,22,0.0008818342151675485,3
80,1110,0,23,0.001763668430335097,3
81,1110,0,23,0.0008818342151675485,3
82,1110,0,23,0.0008818342151675485,3
83,1110,0,23,0.0008818342151675485,3
84,1109,0,25,0.001763668430335097,3
85,1109,0,23,0.0,3
86,1109,0,24,0.001763668430335097,3
87,1109,0,23,0.0008818342151675485,3
88,1109,0,21,0.001763668430335097,3
89,1109,0,23,0.003527336860670194,3
90,1110,0,21,0.001763668430335097,3
91,1111,1,20,0.0026455026455026454,3
92,1110,0,24,0.0026455026455026454,3
93,1110,0,24,0.0,3
94,1110,0,22,0.0,3
95,1110,0,24,0.001763668430335097,3
96,1110,0,22,0.0,3
97,1110,0,23,0.001763668430335097,3
98,1110,0,22,0.0008818342151675485,3
99,1110,0,23,0.001763668430335097,3
100,1104,5,21,0.006172839506172839,3
101,1085,16,32,0.02292768959435626,3
102,1033,43,55,0.05114638447971781,3
103,942,102,89,0.09435626102292768,3
104,789,206,129,0.14285714285714285,3
105,654,301,173,0.13315696649029982,3
106,633,279,217,0.024691358024691357,3
107,633,235,252,0.005291005291005291,3
108,633,199,288,0.012345679012345678,3
109,637,159,325,0.014991181657848324,3
110,675,86,363,0.042328042328042326,3
111,693,35,380,0.026455026455026454,3
112,721,6,388,0.03350970017636684,3
113,738,2,382,0.020282186948853614,3
114,749,0,368,0.010582010582010581,3
115,764,0,359,0.014991181657848324,3
116,770,1,354,0.013227513227513227,3
117,778,0,339,0.007936507936507936,3
118,793,0,325,0.014991181657848324,3
119,809,0,314,0.014109347442680775,3
120,820,0,298,0.009700176366843033,3
121,834,0,283,0.014109347442680775,3
122,850,0,268,0.014991181657848324,3
123,864,0,252,0.014109347442680775,3
124,881,0,236,0.015873015873015872,3
125,898,0,219,0.014991181657848324,3
126,915,0,203,0.014991181657848324,3
127,928,0,191,0.014109347442680775,3
128,942,0,177,0.013227513227513227,3
129,957,0,158,0.013227513227513227,3
130,975,1,144,0.01675485008818342,3
131,988,1,127,0.012345679012345678,3
132,1004,1,106,0.015873015873015872,3
133,1019,2,91,0.026455026455026454,3
134,1036,0,82,0.021164021164021163,3
135,1051,0,67,0.014109347442680775,3
136,1065,0,50,0.014109347442680775,3
137,1083,0,44,0.01675485008818342,3
138,1087,0,36,0.007054673721340388,3
139,1096,1,30,0.009700176366843033,3
140,1101,0,30,0.006172839506172839,3
141,1103,0,30,0.0026455026455026454,3
142,1104,0,30,0.0008818342151675485,3
143,1104,0,27,0.0,3
144,1106,0,27,0.0026455026455026454,3
145,1107,0,25,0.0008818342151675485,3
146,1107,0,24,0.0026455026455026454,3
147,1102,3,25,0.007936507936507936,3
148,1103,1,26,0.006172839506172839,3
149,1103,1,30,0.003527336860670194,3
150,1103,0,27,0.0,3
151,1104,0,28,0.003527336860670194,3
152,1105,0,29,0.001763668430335097,3
153,1105,0,28,0.0,3
154,1105,0,26,0.0008818342151675485,3
155,1106,0,27,0.0026455026455026454,3
156,1106,0,23,0.0008818342151675485,3
157,1105,1,27,0.005291005291005291,3
158,1105,0,25,0.0008818342151675485,3
159,1105,1,27,0.003527336860670194,3
160,1105,0,27,0.0008818342151675485,3
161,1105,1,24,0.001763668430335097,3
162,1106,0,27,0.004409171075837742,3
163,1106,0,28,0.0008818342151675485,3
164,1106,0,27,0.0,3
165,1106,0,27,0.0008818342151675485,3
166,1105,0,28,0.001763668430335097,3
167,1105,0,28,0.0008818342151675485,3
168,1104,1,25,0.0026455026455026454,3
169,1104,2,26,0.004409171075837742,3
170,1104,1,29,0.004409171075837742,3
171,1104,0,30,0.0,3
172,1097,2,33,0.006172839506172839,3
173,1065,20,49,0.031746031746031744,3
174,1003,51,79,0.054673721340388004,3
175,922,90,119,0.08641975308641975,3
176,846,120,162,0.0873015873015873,3
177,698,225,201,0.1455026455026455,3
178,635,248,244,0.06790123456790123,3
179,633,209,284,0.009700176366843033,3
180,650,151,318,0.021164021164021163,3
181,675,91,358,0.036155202821869487,3
182,703,31,389,0.03262786596119929,3
183,722,0,391,0.01763668430335097,3
184,742,0,380,0.018518518518518517,3
185,754,0,361,0.010582010582010581,3
186,770,0,356,0.01763668430335097,3
187,776,1,336,0.007054673721340388,3
188,796,0,318,0.018518518518518517,3
189,815,0,299,0.01763668430335097,3
190,833,0,284,0.01763668430335097,3
191,848,1,266,0.014991181657848324,3
192,867,0,253,0.01675485008818342,3
193,879,0,239,0.012345679012345678,3
194,891,0,229,0.014109347442680775,3
195,905,0,211,0.012345679012345678,3
196,922,0,196,0.015873015873015872,3
197,937,1,185,0.014109347442680775,3
198,947,0,177,0.009700176366843033,3
199,956,0,162,0.008818342151675485,3
200,970,2,145,0.014109347442680775,3
201,986,0,133,0.015873015873015872,3
202,1001,0,119,0.013227513227513227,3
203,1013,1,103,0.013227513227513227,3
204,1027,0,84,0.01675485008818342,3
205,1047,0,75,0.020282186948853614,3
206,1059,0,56,0.010582010582010581,3
207,1074,0,50,0.01675485008818342,3
208,1081,1,44,0.010582010582010581,3
209,1088,0,39,0.007054673721340388,3
210,1095,0,32,0.006172839506172839,3
211,1101,0,28,0.006172839506172839,3
212,1105,0,25,0.004409171075837742,3
213,1106,0,28,0.003527336860670194,3
214,1106,0,27,0.0,3
215,1106,0,26,0.0008818342151675485,3
216,1106,0,24,0.001763668430335097,3
217,1106,0,26,0.003527336860670194,3
218,1107,0,26,0.001763668430335097,3
219,1107,0,25,0.0008818342151675485,3
220,1107,0,24,0.001763668430335097,3
221,1107,1,25,0.0026455026455026454,3
222,1107,0,27,0.0008818342151675485,3
223,1107,0,25,0.0,3
224,1106,2,25,0.0026455026455026454,3
225,1093,3,36,0.012345679012345678,3
226,1093,0,36,0.003527336860670194,3
227,1092,0,40,0.007054673721340388,3
228,1093,0,40,0.001763668430335097,3
229,1076,16,34,0.015873015873015872,3
230,989,78,66,0.0873015873015873,3
231,832,187,111,0.1490299823633157,3
232,673,300,153,0.15255731922398588,3
233,633,298,196,0.042328042328042326,3
234,633,255,239,0.006172839506172839,3
235,633,212,277,0.006172839506172839,3
236,633,174,310,0.010582010582010581,3
237,640,134,346,0.021164021164021163,3
238,671,69,376,0.04144620811287478,3
239,699,21,392,0.037037037037037035,3
240,721,4,392,0.025573192239858905,3
241,739,0,377,0.015873015873015872,3
242,756,0,361,0.015873015873015872,3
243,771,0,342,0.014991181657848324,3
244,790,0,330,0.018518518518518517,3
245,801,0,319,0.012345679012345678,3
246,813,0,300,0.012345679012345678,3
247,833,0,283,0.018518518518518517,3
248,850,0,272,0.015873015873015872,3
249,862,0,250,0.010582010582010581,3
250,884,0,233,0.019400352733686066,3
251,898,1,221,0.014991181657848324,3
252,911,0,205,0.012345679012345678,3
253,925,0,197,0.018518518518518517,3
254,935,1,178,0.010582010582010581,3
255,953,0,161,0.01763668430335097,3
256,972,0,150,0.01763668430335097,3
257,982,2,132,0.010582010582010581,3
258,998,0,116,0.015873015873015872,3
259,1018,0,104,0.01763668430335097,3
260,1030,0,91,0.010582010582010581,3
261,1041,0,77,0.01146384479717813,3
262,1056,0,61,0.014109347442680775,3
263,1069,0,54,0.01675485008818342,3
264,1079,1,46,0.009700176366843033,3
265,1087,0,39,0.007054673721340388,3
266,1093,1,33,0.007054673721340388,3
267,1097,0,31,0.007936507936507936,3
268,1102,0,27,0.005291005291005291,3
269,1104,1,26,0.004409171075837742,3
270,1105,0,26,0.0026455026455026454,3
271,1106,0,25,0.0026455026455026454,3
272,1106,0,27,0.0026455026455026454,3
273,1106,0,28,0.0008818342151675485,3
274,1106,0,26,0.0,3
275,1105,0,27,0.003527336860670194,3
276,1105,0,27,0.001763668430335097,3
277,1070,32,29,0.03262786596119929,3
278,954,111,58,0.11022927689594356,3
279,766,262,104,0.17989417989417988,3
280,635,345,146,0.11904761904761904,3
281,633,307,190,0.010582010582010581,3
282,633,261,233,0.003527336860670194,3
283,633,219,267,0.007054673721340388,3
284,636,181,306,0.014991181657848324,3
285,650,130,337,0.025573192239858905,3
286,685,62,371,0.048500881834215165,3
287,720,4,389,0.03880070546737213,3
288,739,0,383,0.018518518518518517,3
289,750,1,366,0.010582010582010581,3
290,764,1,340,0.014991181657848324,3
291,788,1,331,0.025573192239858905,3
292,799,1,315,0.012345679012345678,3
293,817,1,296,0.01675485008818342,3
294,837,0,273,0.01763668430335097,3
295,855,1,262,0.021164021164021163,3
296,870,0,252,0.014991181657848324,3
297,882,0,238,0.010582010582010581,3
298,895,0,229,0.013227513227513227,3
299,905,0,215,0.008818342151675485,3
300,918,0,199,0.012345679012345678,3
301,935,0,177,0.014991181657848324,3
302,955,0,163,0.019400352733686066,3
303,970,0,148,0.014109347442680775,3
304,984,0,137,0.014109347442680775,3
305,997,0,118,0.01146384479717813,3
306,1014,0,108,0.01675485008818342,3
307,1025,0,97,0.010582010582010581,3
308,1037,0,75,0.010582010582010581,3
309,1053,0,63,0.021164021164021163,3
310,1070,0,53,0.01675485008818342,3
311,1075,0,47,0.013227513227513227,3
312,1086,0,39,0.010582010582010581,3
313,1095,0,32,0.007936507936507936,3
314,1098,0,31,0.007054673721340388,3
315,1100,0,31,0.004409171075837742,3
316,1103,0,30,0.0026455026455026454,3
317,1104,0,29,0.0008818342151675485,3
318,1100,0,31,0.004409171075837742,3
319,1100,0,32,0.0026455026455026454,3
320,1100,0,32,0.001763668430335097,3
321,1101,0,30,0.001763668430335097,3
322,1101,0,31,0.0026455026455026454,3
323,1098,1,34,0.005291005291005291,3
324,1093,3,34,0.005291005291005291,3
325,1098,0,35,0.005291005291005291,3
326,1098,0,33,0.0008818342151675485,3
327,1100,1,31,0.0026455026455026454,3
328,1101,0,33,0.001763668430335097,3
329,1096,1,35,0.004409171075837742,3
330,1096,2,35,0.003527336860670194,3
331,1043,35,52,0.04938271604938271,3
332,972,67,92,0.07407407407407407,3
333,898,101,131,0.07671957671957672,3
334,762,196,174,0.12698412698412698,3
335,695,215,218,0.08024691358024691,3
336,659,208,259,0.043209876543209874,3
337,658,167,299,0.03439153439153439,3
338,669,118,334,0.025573192239858905,3
339,679,71,360,0.026455026455026454,3
340,718,12,388,0.04585537918871252,3
341,733,1,380,0.020282186948853614,3
342,751,0,364,0.01763668430335097,3
343,769,0,348,0.01675485008818342,3
344,783,1,340,0.014991181657848324,3
345,792,1,324,0.008818342151675485,3
346,809,0,305,0.014991181657848324,3
347,828,0,291,0.01763668430335097,3
348,842,1,276,0.013227513227513227,3
349,855,0,262,0.013227513227513227,3
350,870,0,247,0.014991181657848324,3
351,885,1,234,0.014991181657848324,3
352,899,0,224,0.012345679012345678,3
353,909,0,202,0.009700176366843033,3
354,928,2,193,0.020282186948853614,3
355,937,0,170,0.009700176366843033,3
356,963,0,156,0.023809523809523808,3
357,977,0,135,0.013227513227513227,3
358,998,1,124,0.020282186948853614,3
359,1008,0,111,0.009700176366843033,3
360,1021,0,96,0.013227513227513227,3
361,1036,1,88,0.014991181657848324,3
362,1044,1,76,0.007936507936507936,3
363,1057,0,62,0.01146384479717813,3
364,1071,0,53,0.013227513227513227,3
365,1080,0,44,0.008818342151675485,3
366,1089,1,34,0.008818342151675485,3
367,1098,0,28,0.008818342151675485,3
368,1102,1,25,0.007054673721340388,3
369,1107,0,25,0.005291005291005291,3
370,1108,0,20,0.001763668430335097,3
371,1111,0,22,0.005291005291005291,3
372,1111,0,21,0.0008818342151675485,3
373,1111,0,21,0.001763668430335097,3
374,1111,0,18,0.001763668430335097,3
375,1111,0,23,0.004409171075837742,3
376,1111,0,23,0.0,3
377,1111,0,23,0.0,3
378,1111,0,20,0.0,3
379,1111,1,20,0.0026455026455026454,3
380,1111,0,23,0.001763668430335097,3
381,1111,0,22,0.0,3
382,1111,0,21,0.0008818342151675485,3
383,1111,0,21,0.001763668430335097,3
384,1111,0,23,0.001763668430335097,3
385,1111,0,20,0.0,3
386,1111,2,20,0.0026455026455026454,3
387,1111,0,22,0.0008818342151675485,3
388,1111,1,21,0.0008818342151675485,3
389,1111,1,20,0.0008818342151675485,3
390,1111,1,21,0.001763668430335097,3
391,1111,0,23,0.0008818342151675485,3
392,1107,1,24,0.003527336860670194,3
393,1107,0,25,0.001763668430335097,3
394,1107,0,25,0.001763668430335097,3
395,1108,0,26,0.001763668430335097,3
396,1108,0,24,0.0,3
397,1108,0,26,0.001763668430335097,3
398,1108,0,25,0.0,3
399,1108,0,20,0.0008818342151675485,3
400,1110,0,22,0.005291005291005291,3
401,1110,0,22,0.001763668430335097,3
402,1110,0,21,0.001763668430335097,3
403,1110,0,21,0.0026455026455026454,3
404,1110,1,23,0.0026455026455026454,3
405,1110,0,23,0.0,3
406,1110,0,24,0.0008818342151675485,3
407,1110,0,24,0.0,3
408,1110,0,22,0.0,3
409,1110,1,22,0.001763668430335097,3
410,1110,0,23,0.001763668430335097,3
411,1110,0,23,0.0008818342151675485,3
412,1109,0,21,0.001763668430335097,3
413,1111,0,21,0.003527336860670194,3
414,1107,3,22,0.005291005291005291,3
415,1097,3,33,0.010582010582010581,3
416,1098,0,34,0.0008818342151675485,3
417,1098,0,33,0.001763668430335097,3
418,1099,0,33,0.0026455026455026454,3
419,1099,1,32,0.001763668430335097,3
420,1099,0,34,0.001763668430335097,3
421,1099,0,34,0.0008818342151675485,3
422,1100,0,31,0.0008818342151675485,3
423,1100,0,33,0.0026455026455026454,3
424,1100,0,33,0.0008818342151675485,3
425,1100,0,32,0.0008818342151675485,3
426,1101,1,31,0.001763668430335097,3
427,1101,0,31,0.0008818342151675485,3
428,1101,0,33,0.001763668430335097,3
429,1101,0,27,0.0,3
430,1102,0,30,0.005291005291005291,3
431,1103,0,28,0.001763668430335097,3
432,1106,0,26,0.0026455026455026454,3
433,1106,0,26,0.001763668430335097,3
434,1107,1,23,0.001763668430335097,3
435,1108,0,24,0.0026455026455026454,3
436,1107,0,27,0.003527336860670194,3
437,1096,10,27,0.009700176366843033,3
438,979,94,58,0.10493827160493827,3
439,839,187,102,0.13315696649029982,3
440,678,304,147,0.15079365079365079,3
441,633,306,189,0.04585537918871252,3
442,633,264,232,0.007054673721340388,3
443,633,219,269,0.004409171075837742,3
444,633,182,307,0.01146384479717813,3
445,634,145,348,0.013227513227513227,3
446,642,94,371,0.014991181657848324,3
447,701,18,395,0.06261022927689594,3
448,721,1,392,0.019400352733686066,3
449,738,1,375,0.019400352733686066,3
450,757,1,363,0.01763668430335097,3
451,767,0,351,0.01146384479717813,3
452,780,1,332,0.014109347442680775,3
453,800,0,313,0.018518518518518517,3
454,819,0,300,0.018518518518518517,3
455,833,0,285,0.013227513227513227,3
456,849,0,270,0.014109347442680775,3
457,863,0,250,0.013227513227513227,3
458,879,0,239,0.018518518518518517,3
459,895,0,220,0.014109347442680775,3
460,913,1,204,0.01675485008818342,3
461,928,0,185,0.014109347442680775,3
462,945,1,176,0.019400352733686066,3
463,955,1,155,0.010582010582010581,3
464,974,2,140,0.020282186948853614,3
465,988,2,130,0.01763668430335097,3
466,1002,0,118,0.012345679012345678,3
467,1016,0,102,0.012345679012345678,3
468,1031,0,93,0.014109347442680775,3
469,1041,0,83,0.008818342151675485,3
470,1047,1,70,0.009700176366843033,3
471,1063,0,57,0.014109347442680775,3
472,1075,0,46,0.012345679012345678,3
473,1086,0,36,0.01146384479717813,3
474,1093,0,33,0.010582010582010581,3
475,1100,0,26,0.007054673721340388,3
476,1105,1,23,0.007054673721340388,3
477,1109,0,22,0.004409171075837742,3
478,1110,0,21,0.0026455026455026454,3
479,1111,0,22,0.0026455026455026454,3
480,1111,0,22,0.0008818342151675485,3
481,1107,3,22,0.004409171075837742,3
482,1080,15,36,0.025573192239858905,3
483,1059,12,62,0.023809523809523808,3
484,1065,0,66,0.005291005291005291,3
485,1068,0,64,0.0026455026455026454,3
486,1068,1,60,0.001763668430335097,3
487,1071,0,60,0.004409171075837742,3
488,1072,0,60,0.0026455026455026454,3
489,1074,0,56,0.001763668430335097,3
490,1077,0,54,0.003527336860670194,3
491,1078,0,54,0.0026455026455026454,3
492,1079,0,50,0.001763668430335097,3
493,1082,0,51,0.004409171075837742,3
494,1082,0,49,0.0008818342151675485,3
495,1083,0,50,0.0026455026455026454,3
496,1083,0,48,0.0008818342151675485,3
497,1084,0,47,0.0026455026455026454,3
498,1085,0,46,0.0026455026455026454,3
499,1087,0,42,0.0026455026455026454,3
500,1092,0,38,0.004409171075837742,3
